Ldatitud,Ldatitud,Ldatitud,Longditud
TESI,Fraccionamiento José de La Mora,3.7695146812781912,3.7695146812781912
Fraccionamiento José de La Mora,Margarita Morán,3.269195320052962,7.038710001331154
Margarita Morán,Jorge Jiménez Cantú,8.872839868143483,15.911549869474637
Jorge Jiménez Cantú,Tlacaelel,10.033189368745822,25.944739238220457
Tlacaelel,Lomas de Ayotla,1.5553086983020872,27.500047936522545
Lomas de Ayotla,Citlalmina y Ampliación Santa Cruz. La Era,1.3448096026634586,28.844857539186005
Citlalmina y Ampliación Santa Cruz. La Era,Residencial Ayotla,1.4194407010403218,30.264298240226328
Residencial Ayotla,Ampliación Tejalpa,0.5023433538963302,30.766641594122657
Ampliación Tejalpa,Rancho El Carmen,1.3027483275899163,32.06938992171257
Rancho El Carmen,Ampliación Loma Bonita,2.2112238444495027,34.28061376616208
Ampliación Loma Bonita,Santa Cruz,1.4364657055072134,35.71707947166929
Santa Cruz,20 de noviembre,1.9562774260884896,37.67335689775778
20 de noviembre,Tlayehuale,3.5781447522218763,41.25150164997965
Tlayehuale,Valle Verde,2.347736615578187,43.59923826555784
Valle Verde,Geovillas Jesús María,3.694514842148893,47.29375310770673
Geovillas Jesús María,Melchor Ocampo,2.7786511003909724,50.0724042080977
Melchor Ocampo,Teponaxtle,7.917243664669442,57.989647872767144
Teponaxtle,Ampliación San Francisco,4.244018250579557,62.2336661233467
Ampliación San Francisco,Alfredo del Mazo,6.933975961208729,69.16764208455542
Alfredo del Mazo,El Capulín,2.6423884967175266,71.81003058127295
El Capulín,Fraccionamiento Izcalli Ixtalapuca,1.6678601743256756,73.47789075559864
Fraccionamiento Izcalli Ixtalapuca,TESI,5.400726112449616,78.87861686804825
TESI,Arboladas,1.4841103375892435,80.3627272056375
Arboladas,Luis Donaldo Colosio,4.17040332681248,84.53313053244997
Luis Donaldo Colosio,Rincón del Bosque,1.185756241910904,85.71888677436088
Rincón del Bosque,Geovillas de Ayotla,1.02202364877,86.74091042313088
Geovillas de Ayotla,Ilhuicamina,0.7992257722802817,87.54013619541116
Ilhuicamina,San Antonio,1.3454790900841456,88.8856152854953
San Antonio,Tejolote,4.231620586574136,93.11723587206944
Tejolote,Pueblo Nuevo,11.956736679208765,105.0739725512782
Pueblo Nuevo,Rigoberta Menchú,13.763411165469991,118.83738371674819
Rigoberta Menchú,San Jerónimo 4 vientos,10.955189092197056,129.79257280894524
San Jerónimo 4 vientos,La Magdalena,7.284637131133086,137.07720994007832
La Magdalena,La Venta,2.6890060367581805,139.7662159768365
La Venta,San José de la Palma,0.726093013025971,140.49230898986247
San José de la Palma,La Rosa de San Francisco,2.9964123582839117,143.48872134814638
La Rosa de San Francisco,Plutarco Elías Calles,3.3345238978625504,146.82324524600892
Plutarco Elías Calles,Hornos Santa Bárbara,1.7217796654641464,148.54502491147306
Hornos Santa Bárbara,Geovillas de San Jacinto,1.722112431194676,150.26713734266775
Geovillas de San Jacinto,Rancho Guadalupe,5.126830887143051,155.3939682298108
Rancho Guadalupe,La Cañada,10.339278778174167,165.73324700798497
La Cañada,El Molino,6.29382759797453,172.0270746059595
El Molino,TESI,2.4855304968479572,174.51260510280747
TESI,Ampliación Zoquiapan,5.470544989543702,179.98315009235117
Ampliación Zoquiapan,F. Álvarez,1.232562623754934,181.2157127161061
F. Álvarez,Santo Tomás,0.6229772465560547,181.83868996266216
Santo Tomás,Hornos San Juan,3.7829232645665694,185.62161322722872
Hornos San Juan,Escalerillas,2.9969733604690347,188.61858658769776
Escalerillas,Loma Bonita,1.091255105485687,189.70984169318345
Loma Bonita,Cerro de Moctezuma,1.1127081951427278,190.82254988832617
Cerro de Moctezuma,El Contadero,2.291453503316585,193.11400339164274
El Contadero,El Mirador,1.564101125498365,194.6781045171411
El Mirador,Zoquiapan,4.264654858494443,198.94275937563555
Zoquiapan,Juan Antonio Soberanes,4.352818804034963,203.2955781796705
Juan Antonio Soberanes,Vergel de Guadalupe,8.709300127837682,212.0048783075082
Vergel de Guadalupe,Santa Bárbara,4.247686294831641,216.25256460233985
Santa Bárbara,Rancho Verde,8.461975453438985,224.71454005577883
Rancho Verde,Ampliación Emiliano Zapata,11.688182481610811,236.40272253738965
Ampliación Emiliano Zapata,La Retama,1.33260511005936,237.735327647449
La Retama,Los Héroes,5.696772100911271,243.43209974836026
Los Héroes,San Buenaventura,2.49499180727578,245.92709155563603
